c.2.5.4.11,A hymn to Inana for Išme-Dagan (Išme-Dagan K)

c.2.5.4.10,A love song of Išme-Dagan (Išme-Dagan J)

c.2.5.4.13,An adab to Nanna for Išme-Dagan (Išme-Dagan M)

c.2.5.4.15,A tigi (?) to Ninurta for Išme-Dagan (Išme-Dagan O)

c.2.5.4.17,An adab (?) to Nuska for Išme-Dagan (Išme-Dagan Q)

c.2.5.4.16,An adab (?) to Ninurta for Išme-Dagan (Išme-Dagan P)

c.2.5.4.19,A dedication of a statue (Išme-Dagan S)

c.5.4.12,He is a good seed of a dog (Diatribe C)

c.5.4.11,A diatribe against Engar-dug (Diatribe B)

c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu

c.3.3.08,Letter from Šamaš-ṭāb to Ilak-niʾid

c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun

c.3.3.02,Letter from Lugal-nesaŋe to a king radiant as the moon

c.3.3.01,Letter from Ur-saga to a king fearing the loss of his father's household

c.3.3.07,Letter from Ugubi to his mother

c.3.3.06,Letter from Aba-tah-lugalŋa to his brothers

c.3.3.05,Letter from a governor and temple administrator to a king

c.3.3.04,Letter from Ur-Enlila to a governor and temple administrator

c.3.1.01,Letter from Aradŋu to Šulgi about Apillaša

c.3.1.03,Letter from Aradŋu to Šulgi about irrigation work

c.3.1.02,Letter from Šulgi to Aradŋu about Apillaša

c.3.1.05,Letter from Aradŋu to Šulgi about Aba-indasa's missing troops

c.3.1.04,Letter from Aradŋu to Šulgi about the country

c.3.1.07,Letter from Puzur-Šulgi to Šulgi about the advance of the enemy

c.3.1.06,Letter from Aradŋu to Šulgi about the fortress Igi-hursaŋa

c.3.1.08,Letter from Šulgi to Puzur-Šulgi about the fortress Igi-hursaŋa

c.4.08.25,A song of Inana and Dumuzid (Dumuzid-Inana Y)

c.2.99.d,An excerpt from a royal praise poem (?)

c.2.6.7.1,A hymn to Numušda for Sîn-iqīšam (Sîn-iqīšam A)

c.2.99.b,A fragment of a royal praise poem

c.5.9.2,The heron and the turtle

c.2.6.9.8,An adab to Inana for Rīm-Sîn (Rīm-Sîn H)

c.2.6.9.3,A prayer to An for Rīm-Sîn (Rīm-Sîn C)

c.2.6.9.2,A hymn to Haia for Rīm-Sîn (Rīm-Sîn B)

c.2.6.9.1,A prayer to Enlil for Rīm-Sîn (Rīm-Sîn A)

c.2.6.9.7,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn G)

c.2.6.9.6,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn F)

c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E)

c.2.6.9.4,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn D)

c.0.2.12,OB catalogue at Yale (Y2)

c.0.2.13,OB catalogue from Nibru (N6)

c.2.6.9.a,An excerpt from a prayer for Rīm-Sîn

c.0.2.11,OB catalogue at Andrews University (B4)

c.4.08.08,A tigi to Inana (Dumuzid-Inana H)

c.4.08.09,A kunŋar to Inana (Dumuzid-Inana I)

c.4.08.01,A balbale to Inana (Dumuzid-Inana A)

c.4.08.02,A balbale to Inana (Dumuzid-Inana B)

c.4.08.03,A balbale to Inana (Dumuzid-Inana C)

c.4.08.04,A balbale to Inana (Dumuzid-Inana D)

c.4.08.05,The song of the lettuce: a balbale to Inana (Dumuzid-Inana E)

c.4.08.06,A balbale to Inana (Dumuzid-Inana F)

c.4.08.07,A balbale to Inana (Dumuzid-Inana G)

c.3.2.04,Letter from Lipit-Eštar to Nanna-ki-aŋ about driving away the enemy

c.3.2.05,Letter from Sîn-iddinam to the god Utu

c.6.1.27,Proverbs: collection 27

c.4.06.1,A hymn to Hendursaŋa (Hendursaŋa A)

c.3.2.01,Letter from Sîn-illat to Iddin-Dagan about confronting the Martu

c.3.2.02,Letter from Iddin-Dagan to Sîn-illat about the troops

c.3.2.03,Letter from Nanna-ki-aŋ to Lipit-Eštar about Gungunum's troops

c.5.3.1,The debate between Hoe and Plough

c.5.3.2,The debate between Grain and Sheep

c.5.3.3,The debate between Winter and Summer

c.5.3.5,The debate between Bird and Fish

c.5.3.6,The debate between Copper and Silver

